CustomerID,SignupDate,AcquisitionChannel,CAC,Region
CUST_00001,2025-02-15,Google Ads,60,East
CUST_00002,2024-10-04,Email Market,15,South
CUST_00003,2025-05-07,Direct Organic,5,West
CUST_00004,2024-01-16,Google Ads,60,West
CUST_00005,2024-01-13,Social Media,45,North
CUST_00006,2024-12-21,Social Media,45,South
CUST_00007,2024-12-21,Social Media,45,South
CUST_00008,2024-11-13,Affiliate,30,West
CUST_00009,2025-03-02,Direct Organic,5,North
CUST_00010,2024-03-27,Direct Organic,5,South
CUST_00011,2024-03-18,Social Media,45,North
CUST_00012,2025-02-19,Email Market,15,North
CUST_00013,2024-03-07,Affiliate,30,North
CUST_00014,2024-12-12,Social Media,45,East
CUST_00015,2024-07-29,Social Media,45,North
CUST_00016,2024-08-01,Social Media,45,South
CUST_00017,2024-07-03,Social Media,45,South
CUST_00018,2025-03-24,Google Ads,60,South
CUST_00019,2025-03-28,Google Ads,60,South
CUST_00020,2025-03-08,Social Media,45,North
CUST_00021,2024-02-02,Direct Organic,5,North
CUST_00022,2024-04-24,Social Media,45,West
CUST_00023,2024-10-01,Social Media,45,South
CUST_00024,2025-02-23,Google Ads,60,East
CUST_00025,2025-05-13,Google Ads,60,South
CUST_00026,2024-07-16,Direct Organic,5,North
CUST_00027,2025-01-14,Social Media,45,West
CUST_00028,2024-05-22,Google Ads,60,North
CUST_00029,2024-08-15,Google Ads,60,West
CUST_00030,2024-04-29,Social Media,45,North
CUST_00031,2024-12-18,Direct Organic,5,South
CUST_00032,2024-01-24,Social Media,45,North
CUST_00033,2024-01-27,Social Media,45,West
CUST_00034,2025-03-08,Email Market,15,West
CUST_00035,2024-03-15,Email Market,15,North
CUST_00036,2024-08-28,Affiliate,30,North
CUST_00037,2024-01-23,Social Media,45,North
CUST_00038,2024-06-09,Social Media,45,West
CUST_00039,2024-02-10,Direct Organic,5,North
CUST_00040,2024-08-25,Google Ads,60,South
CUST_00041,2024-08-26,Social Media,45,North
CUST_00042,2024-02-25,Google Ads,60,East
CUST_00043,2025-02-16,Social Media,45,South
CUST_00044,2025-02-18,Affiliate,30,East
CUST_00045,2025-03-24,Social Media,45,West
CUST_00046,2024-04-07,Direct Organic,5,North
CUST_00047,2024-05-25,Social Media,45,South
CUST_00048,2025-04-10,Google Ads,60,East
CUST_00049,2024-09-18,Google Ads,60,South
CUST_00050,2025-03-11,Social Media,45,North
CUST_00051,2024-02-09,Email Market,15,West
CUST_00052,2024-07-11,Direct Organic,5,West
CUST_00053,2024-08-26,Email Market,15,West
CUST_00054,2024-02-11,Affiliate,30,West
CUST_00055,2024-08-09,Google Ads,60,South
CUST_00056,2024-07-14,Email Market,15,North
CUST_00057,2024-10-14,Social Media,45,North
CUST_00058,2024-01-10,Social Media,45,South
CUST_00059,2024-08-22,Social Media,45,North
CUST_00060,2024-11-20,Social Media,45,North
CUST_00061,2024-09-21,Google Ads,60,West
CUST_00062,2024-03-09,Social Media,45,West
CUST_00063,2025-03-20,Affiliate,30,West
CUST_00064,2024-05-18,Google Ads,60,North
CUST_00065,2024-12-20,Social Media,45,West
CUST_00066,2024-08-06,Google Ads,60,North
CUST_00067,2024-07-14,Social Media,45,South
CUST_00068,2024-03-14,Affiliate,30,East
CUST_00069,2024-04-12,Social Media,45,South
CUST_00070,2024-08-12,Email Market,15,West
CUST_00071,2024-05-02,Direct Organic,5,North
CUST_00072,2024-04-11,Social Media,45,South
CUST_00073,2024-09-20,Social Media,45,North
CUST_00074,2025-03-08,Affiliate,30,West
CUST_00075,2025-02-11,Direct Organic,5,South
CUST_00076,2025-05-01,Direct Organic,5,East
CUST_00077,2024-06-09,Direct Organic,5,East
CUST_00078,2024-08-20,Social Media,45,East
CUST_00079,2025-05-05,Google Ads,60,South
CUST_00080,2024-10-01,Social Media,45,North
CUST_00081,2024-09-14,Affiliate,30,East
CUST_00082,2024-11-06,Direct Organic,5,West
CUST_00083,2024-05-18,Social Media,45,West
CUST_00084,2024-08-14,Social Media,45,North
CUST_00085,2024-09-29,Social Media,45,North
CUST_00086,2025-03-01,Social Media,45,South
CUST_00087,2024-11-12,Direct Organic,5,West
CUST_00088,2025-01-21,Direct Organic,5,North
CUST_00089,2024-03-26,Affiliate,30,East
CUST_00090,2024-10-17,Google Ads,60,West
CUST_00091,2025-04-13,Social Media,45,South
CUST_00092,2024-08-04,Direct Organic,5,North
CUST_00093,2024-12-24,Direct Organic,5,West
CUST_00094,2024-03-06,Google Ads,60,South
CUST_00095,2024-09-13,Direct Organic,5,South
CUST_00096,2024-05-14,Google Ads,60,North
CUST_00097,2025-02-07,Google Ads,60,South
CUST_00098,2025-03-02,Google Ads,60,East
CUST_00099,2025-01-09,Social Media,45,South
CUST_00100,2025-01-24,Social Media,45,North
CUST_00101,2024-02-24,Social Media,45,East
CUST_00102,2024-12-21,Direct Organic,5,North
CUST_00103,2024-08-30,Social Media,45,North
CUST_00104,2024-09-08,Google Ads,60,East
CUST_00105,2024-01-21,Affiliate,30,West
CUST_00106,2024-11-02,Social Media,45,North
CUST_00107,2025-03-05,Google Ads,60,North
CUST_00108,2024-06-11,Direct Organic,5,East
CUST_00109,2024-12-21,Social Media,45,East
CUST_00110,2024-09-20,Social Media,45,South
CUST_00111,2025-05-12,Social Media,45,North
CUST_00112,2024-03-08,Social Media,45,North
CUST_00113,2024-04-16,Email Market,15,West
CUST_00114,2025-02-03,Affiliate,30,South
CUST_00115,2024-03-07,Direct Organic,5,West
CUST_00116,2024-07-17,Affiliate,30,South
CUST_00117,2024-07-10,Affiliate,30,East
CUST_00118,2024-01-02,Social Media,45,West
CUST_00119,2024-09-13,Affiliate,30,North
CUST_00120,2025-03-17,Google Ads,60,South
CUST_00121,2024-01-01,Affiliate,30,North
CUST_00122,2024-12-23,Affiliate,30,North
CUST_00123,2024-04-24,Social Media,45,North
CUST_00124,2025-01-25,Social Media,45,North
CUST_00125,2024-03-28,Social Media,45,West
CUST_00126,2024-07-15,Google Ads,60,East
CUST_00127,2025-04-13,Affiliate,30,West
CUST_00128,2024-04-01,Affiliate,30,South
CUST_00129,2024-09-30,Social Media,45,South
CUST_00130,2024-12-09,Google Ads,60,North
CUST_00131,2024-06-08,Google Ads,60,South
CUST_00132,2024-06-21,Social Media,45,South
CUST_00133,2024-02-02,Social Media,45,North
CUST_00134,2025-04-02,Social Media,45,West
CUST_00135,2024-03-13,Email Market,15,North
CUST_00136,2025-03-08,Social Media,45,South
CUST_00137,2025-02-20,Google Ads,60,South
CUST_00138,2025-04-25,Direct Organic,5,West
CUST_00139,2025-03-30,Google Ads,60,North
CUST_00140,2024-07-14,Email Market,15,South
CUST_00141,2024-10-10,Email Market,15,South
CUST_00142,2024-03-27,Social Media,45,North
CUST_00143,2024-11-04,Google Ads,60,East
CUST_00144,2024-08-11,Social Media,45,North
CUST_00145,2024-02-13,Social Media,45,North
CUST_00146,2024-12-01,Social Media,45,North
CUST_00147,2025-05-08,Direct Organic,5,West
CUST_00148,2025-03-14,Google Ads,60,North
CUST_00149,2024-05-17,Social Media,45,South
CUST_00150,2024-09-26,Social Media,45,North
CUST_00151,2024-12-24,Affiliate,30,North
CUST_00152,2024-02-05,Social Media,45,North
CUST_00153,2024-02-03,Social Media,45,South
CUST_00154,2024-03-28,Google Ads,60,North
CUST_00155,2024-05-25,Email Market,15,North
CUST_00156,2024-01-16,Social Media,45,West
CUST_00157,2024-08-20,Direct Organic,5,South
CUST_00158,2025-02-24,Direct Organic,5,North
CUST_00159,2024-02-10,Social Media,45,South
CUST_00160,2024-09-11,Direct Organic,5,North
CUST_00161,2024-10-07,Google Ads,60,South
CUST_00162,2024-05-05,Direct Organic,5,North
CUST_00163,2024-01-08,Direct Organic,5,North
CUST_00164,2025-04-16,Google Ads,60,North
CUST_00165,2025-04-12,Social Media,45,North
CUST_00166,2025-01-02,Affiliate,30,West
CUST_00167,2024-12-15,Social Media,45,North
CUST_00168,2024-12-05,Social Media,45,North
CUST_00169,2025-02-05,Social Media,45,South
CUST_00170,2024-11-19,Google Ads,60,South
CUST_00171,2024-06-24,Direct Organic,5,North
CUST_00172,2024-08-15,Social Media,45,North
CUST_00173,2025-03-29,Google Ads,60,North
CUST_00174,2024-11-18,Social Media,45,North
CUST_00175,2025-02-05,Direct Organic,5,North
CUST_00176,2025-01-01,Social Media,45,North
CUST_00177,2025-05-02,Direct Organic,5,East
CUST_00178,2024-01-18,Google Ads,60,West
CUST_00179,2024-02-25,Email Market,15,East
CUST_00180,2025-02-10,Social Media,45,North
CUST_00181,2024-02-04,Social Media,45,East
CUST_00182,2025-01-24,Social Media,45,South
CUST_00183,2024-04-27,Email Market,15,West
CUST_00184,2024-10-08,Affiliate,30,East
CUST_00185,2024-09-10,Social Media,45,East
CUST_00186,2024-07-31,Direct Organic,5,North
CUST_00187,2024-03-01,Affiliate,30,South
CUST_00188,2024-03-28,Google Ads,60,North
CUST_00189,2024-09-27,Google Ads,60,North
CUST_00190,2024-12-12,Social Media,45,North
CUST_00191,2024-02-01,Social Media,45,South
CUST_00192,2025-01-30,Affiliate,30,South
CUST_00193,2024-05-12,Affiliate,30,West
CUST_00194,2024-03-04,Direct Organic,5,North
CUST_00195,2024-07-17,Social Media,45,North
CUST_00196,2024-09-12,Social Media,45,West
CUST_00197,2024-12-07,Direct Organic,5,West
CUST_00198,2024-06-03,Affiliate,30,South
CUST_00199,2025-04-07,Affiliate,30,North
CUST_00200,2024-08-18,Direct Organic,5,South
CUST_00201,2024-10-27,Direct Organic,5,North
CUST_00202,2024-02-04,Social Media,45,West
CUST_00203,2024-01-26,Social Media,45,East
CUST_00204,2024-01-23,Affiliate,30,North
CUST_00205,2024-05-20,Direct Organic,5,West
CUST_00206,2025-04-18,Social Media,45,East
CUST_00207,2025-01-21,Social Media,45,West
CUST_00208,2024-10-11,Direct Organic,5,West
CUST_00209,2025-03-25,Social Media,45,North
CUST_00210,2024-11-15,Social Media,45,North
CUST_00211,2024-06-04,Google Ads,60,South
CUST_00212,2025-04-15,Direct Organic,5,West
CUST_00213,2025-02-23,Direct Organic,5,West
CUST_00214,2024-04-22,Social Media,45,South
CUST_00215,2025-01-24,Direct Organic,5,North
CUST_00216,2024-05-18,Social Media,45,North
CUST_00217,2025-02-25,Social Media,45,West
CUST_00218,2025-01-08,Direct Organic,5,South
CUST_00219,2025-02-21,Direct Organic,5,South
CUST_00220,2024-07-27,Affiliate,30,South
CUST_00221,2024-11-18,Direct Organic,5,East
CUST_00222,2024-12-29,Google Ads,60,West
CUST_00223,2025-03-05,Social Media,45,North
CUST_00224,2025-04-26,Google Ads,60,North
CUST_00225,2024-03-26,Social Media,45,East
CUST_00226,2024-10-11,Social Media,45,West
CUST_00227,2024-02-29,Email Market,15,North
CUST_00228,2024-02-23,Google Ads,60,North
CUST_00229,2024-04-02,Affiliate,30,North
CUST_00230,2024-11-20,Direct Organic,5,North
CUST_00231,2025-04-02,Direct Organic,5,North
CUST_00232,2025-04-02,Google Ads,60,South
CUST_00233,2025-01-07,Google Ads,60,North
CUST_00234,2024-09-21,Google Ads,60,East
CUST_00235,2025-01-16,Social Media,45,North
CUST_00236,2024-07-31,Direct Organic,5,North
CUST_00237,2024-11-28,Social Media,45,South
CUST_00238,2024-01-10,Social Media,45,South
CUST_00239,2024-12-23,Direct Organic,5,North
CUST_00240,2024-07-21,Social Media,45,West
CUST_00241,2024-07-14,Email Market,15,North
CUST_00242,2024-02-27,Email Market,15,North
CUST_00243,2025-05-08,Affiliate,30,South
CUST_00244,2024-09-12,Google Ads,60,West
CUST_00245,2024-08-10,Social Media,45,South
CUST_00246,2025-01-03,Email Market,15,North
CUST_00247,2024-06-28,Google Ads,60,South
CUST_00248,2025-02-21,Email Market,15,North
CUST_00249,2024-12-27,Email Market,15,East
CUST_00250,2024-02-04,Affiliate,30,North
CUST_00251,2024-12-24,Social Media,45,West
CUST_00252,2024-04-12,Google Ads,60,North
CUST_00253,2024-06-09,Affiliate,30,West
CUST_00254,2024-07-18,Social Media,45,North
CUST_00255,2024-06-08,Social Media,45,West
CUST_00256,2024-07-01,Google Ads,60,North
CUST_00257,2024-12-18,Email Market,15,North
CUST_00258,2024-05-15,Direct Organic,5,North
CUST_00259,2025-03-05,Google Ads,60,West
CUST_00260,2025-02-01,Social Media,45,North
CUST_00261,2024-08-13,Direct Organic,5,North
CUST_00262,2025-01-26,Email Market,15,North
CUST_00263,2024-08-30,Social Media,45,West
CUST_00264,2024-04-15,Google Ads,60,North
CUST_00265,2024-03-11,Affiliate,30,North
CUST_00266,2024-03-17,Direct Organic,5,West
CUST_00267,2024-02-23,Direct Organic,5,West
CUST_00268,2024-10-03,Direct Organic,5,North
CUST_00269,2024-04-20,Google Ads,60,West
CUST_00270,2024-08-11,Social Media,45,North
CUST_00271,2024-03-15,Affiliate,30,North
CUST_00272,2024-01-14,Affiliate,30,West
CUST_00273,2025-04-03,Affiliate,30,West
CUST_00274,2024-09-14,Affiliate,30,North
CUST_00275,2025-04-26,Google Ads,60,North
CUST_00276,2024-07-07,Google Ads,60,North
CUST_00277,2024-12-29,Direct Organic,5,West
CUST_00278,2024-08-26,Direct Organic,5,West
CUST_00279,2025-02-04,Direct Organic,5,North
CUST_00280,2024-11-29,Direct Organic,5,West
CUST_00281,2025-04-17,Affiliate,30,North
CUST_00282,2024-10-30,Social Media,45,East
CUST_00283,2024-03-31,Google Ads,60,North
CUST_00284,2025-01-26,Social Media,45,South
CUST_00285,2024-07-02,Google Ads,60,North
CUST_00286,2024-01-17,Social Media,45,West
CUST_00287,2025-03-28,Google Ads,60,North
CUST_00288,2024-01-12,Google Ads,60,North
CUST_00289,2024-06-14,Social Media,45,West
CUST_00290,2024-05-25,Google Ads,60,South
CUST_00291,2024-10-08,Social Media,45,North
CUST_00292,2025-04-23,Social Media,45,South
CUST_00293,2024-02-06,Affiliate,30,West
CUST_00294,2024-03-10,Google Ads,60,South
CUST_00295,2024-06-17,Social Media,45,North
CUST_00296,2024-11-30,Google Ads,60,North
CUST_00297,2024-06-18,Direct Organic,5,West
CUST_00298,2025-05-11,Social Media,45,North
CUST_00299,2024-09-09,Direct Organic,5,South
CUST_00300,2024-12-11,Social Media,45,East
CUST_00301,2025-05-13,Social Media,45,North
CUST_00302,2025-04-04,Google Ads,60,North
CUST_00303,2024-10-23,Google Ads,60,West
CUST_00304,2025-03-06,Direct Organic,5,North
CUST_00305,2024-05-21,Direct Organic,5,West
CUST_00306,2025-01-19,Email Market,15,West
CUST_00307,2024-09-29,Google Ads,60,North
CUST_00308,2024-08-12,Social Media,45,North
CUST_00309,2024-07-01,Direct Organic,5,West
CUST_00310,2024-08-08,Social Media,45,West
CUST_00311,2024-02-22,Google Ads,60,North
CUST_00312,2024-04-27,Social Media,45,North
CUST_00313,2024-12-30,Social Media,45,East
CUST_00314,2024-06-07,Email Market,15,South
CUST_00315,2025-03-21,Affiliate,30,South
CUST_00316,2024-05-15,Direct Organic,5,West
CUST_00317,2025-02-17,Google Ads,60,South
CUST_00318,2024-03-17,Social Media,45,West
CUST_00319,2024-12-01,Social Media,45,East
CUST_00320,2025-03-25,Social Media,45,North
CUST_00321,2024-02-14,Google Ads,60,East
CUST_00322,2024-01-18,Direct Organic,5,South
CUST_00323,2024-12-20,Direct Organic,5,North
CUST_00324,2025-03-04,Social Media,45,North
CUST_00325,2025-02-06,Email Market,15,South
CUST_00326,2024-07-23,Direct Organic,5,East
CUST_00327,2025-05-13,Google Ads,60,West
CUST_00328,2024-11-19,Direct Organic,5,West
CUST_00329,2024-03-23,Google Ads,60,North
CUST_00330,2024-02-19,Social Media,45,West
CUST_00331,2024-10-07,Google Ads,60,North
CUST_00332,2024-06-14,Direct Organic,5,North
CUST_00333,2024-08-30,Social Media,45,North
CUST_00334,2025-01-11,Social Media,45,South
CUST_00335,2025-04-23,Social Media,45,North
CUST_00336,2024-06-12,Social Media,45,North
CUST_00337,2024-11-19,Affiliate,30,North
CUST_00338,2024-02-25,Direct Organic,5,North
CUST_00339,2024-02-08,Google Ads,60,West
CUST_00340,2024-11-14,Social Media,45,West
CUST_00341,2024-05-07,Google Ads,60,East
CUST_00342,2025-01-25,Google Ads,60,South
CUST_00343,2024-05-01,Social Media,45,East
CUST_00344,2024-09-03,Google Ads,60,West
CUST_00345,2024-07-04,Google Ads,60,East
CUST_00346,2024-07-26,Direct Organic,5,North
CUST_00347,2024-11-10,Direct Organic,5,North
CUST_00348,2024-10-30,Social Media,45,North
CUST_00349,2025-01-23,Google Ads,60,North
CUST_00350,2024-08-26,Direct Organic,5,North
CUST_00351,2024-08-02,Google Ads,60,West
CUST_00352,2024-10-18,Affiliate,30,East
CUST_00353,2024-08-11,Direct Organic,5,North
CUST_00354,2024-03-28,Social Media,45,North
CUST_00355,2024-01-25,Social Media,45,East
CUST_00356,2025-03-04,Direct Organic,5,North
CUST_00357,2024-08-07,Social Media,45,North
CUST_00358,2024-10-01,Google Ads,60,West
CUST_00359,2024-05-14,Email Market,15,South
CUST_00360,2025-05-06,Google Ads,60,West
CUST_00361,2025-03-17,Google Ads,60,West
CUST_00362,2024-08-20,Direct Organic,5,West
CUST_00363,2025-04-09,Google Ads,60,North
CUST_00364,2024-03-06,Google Ads,60,North
CUST_00365,2024-03-20,Email Market,15,North
CUST_00366,2025-02-26,Google Ads,60,North
CUST_00367,2024-09-11,Email Market,15,South
CUST_00368,2024-05-04,Affiliate,30,West
CUST_00369,2024-05-25,Social Media,45,West
CUST_00370,2024-04-12,Social Media,45,West
CUST_00371,2025-01-19,Social Media,45,South
CUST_00372,2025-03-22,Social Media,45,East
CUST_00373,2025-01-21,Social Media,45,North
CUST_00374,2025-01-17,Direct Organic,5,South
CUST_00375,2024-10-03,Social Media,45,West
CUST_00376,2025-01-16,Social Media,45,North
CUST_00377,2024-05-03,Affiliate,30,South
CUST_00378,2025-02-17,Social Media,45,West
CUST_00379,2024-09-23,Affiliate,30,North
CUST_00380,2024-10-04,Social Media,45,West
CUST_00381,2024-04-20,Social Media,45,North
CUST_00382,2025-01-15,Direct Organic,5,West
CUST_00383,2024-11-08,Direct Organic,5,North
CUST_00384,2024-03-29,Affiliate,30,North
CUST_00385,2025-01-21,Direct Organic,5,North
CUST_00386,2024-06-06,Affiliate,30,East
CUST_00387,2024-08-03,Social Media,45,West
CUST_00388,2025-01-18,Social Media,45,East
CUST_00389,2024-10-27,Direct Organic,5,West
CUST_00390,2024-02-05,Affiliate,30,West
CUST_00391,2024-03-27,Email Market,15,North
CUST_00392,2024-04-27,Google Ads,60,East
CUST_00393,2024-11-23,Google Ads,60,North
CUST_00394,2025-03-23,Direct Organic,5,South
CUST_00395,2024-06-30,Social Media,45,North
CUST_00396,2024-03-08,Email Market,15,North
CUST_00397,2025-03-09,Affiliate,30,East
CUST_00398,2024-12-24,Google Ads,60,North
CUST_00399,2025-05-05,Direct Organic,5,East
CUST_00400,2024-06-07,Direct Organic,5,West
CUST_00401,2024-10-11,Social Media,45,North
CUST_00402,2025-03-18,Affiliate,30,West
CUST_00403,2024-06-12,Google Ads,60,East
CUST_00404,2025-04-05,Affiliate,30,North
CUST_00405,2024-12-26,Social Media,45,West
CUST_00406,2024-03-13,Affiliate,30,North
CUST_00407,2024-04-28,Google Ads,60,North
CUST_00408,2024-12-06,Social Media,45,North
CUST_00409,2025-05-13,Affiliate,30,South
CUST_00410,2024-07-13,Social Media,45,South
CUST_00411,2024-03-29,Social Media,45,North
CUST_00412,2024-12-10,Email Market,15,North
CUST_00413,2024-03-16,Email Market,15,West
CUST_00414,2024-08-08,Google Ads,60,West
CUST_00415,2024-05-18,Direct Organic,5,South
CUST_00416,2025-01-06,Google Ads,60,North
CUST_00417,2025-01-29,Social Media,45,North
CUST_00418,2024-08-28,Social Media,45,West
CUST_00419,2024-06-02,Direct Organic,5,North
CUST_00420,2024-02-22,Direct Organic,5,North
CUST_00421,2024-05-21,Direct Organic,5,South
CUST_00422,2024-11-15,Direct Organic,5,East
CUST_00423,2025-04-08,Social Media,45,South
CUST_00424,2025-01-28,Google Ads,60,North
CUST_00425,2024-01-31,Social Media,45,East
CUST_00426,2024-08-10,Google Ads,60,East
CUST_00427,2024-10-18,Google Ads,60,East
CUST_00428,2024-09-22,Affiliate,30,North
CUST_00429,2024-10-08,Google Ads,60,West
CUST_00430,2024-10-02,Social Media,45,South
CUST_00431,2025-01-15,Social Media,45,South
CUST_00432,2024-02-13,Direct Organic,5,South
CUST_00433,2024-03-02,Direct Organic,5,North
CUST_00434,2024-07-19,Social Media,45,North
CUST_00435,2024-11-30,Social Media,45,North
CUST_00436,2024-01-09,Direct Organic,5,North
CUST_00437,2024-03-11,Social Media,45,South
CUST_00438,2024-03-30,Affiliate,30,East
CUST_00439,2024-01-24,Direct Organic,5,North
CUST_00440,2024-05-19,Social Media,45,West
CUST_00441,2024-11-11,Social Media,45,North
CUST_00442,2024-12-05,Email Market,15,North
CUST_00443,2025-01-10,Google Ads,60,North
CUST_00444,2024-03-18,Google Ads,60,East
CUST_00445,2024-08-01,Affiliate,30,East
CUST_00446,2024-01-16,Email Market,15,West
CUST_00447,2024-01-29,Email Market,15,North
CUST_00448,2025-02-19,Direct Organic,5,North
CUST_00449,2025-04-11,Google Ads,60,East
CUST_00450,2025-01-09,Social Media,45,East
CUST_00451,2024-10-17,Direct Organic,5,West
CUST_00452,2024-02-12,Google Ads,60,North
CUST_00453,2024-12-17,Google Ads,60,East
CUST_00454,2025-01-09,Affiliate,30,North
CUST_00455,2024-02-22,Social Media,45,South
CUST_00456,2024-10-02,Google Ads,60,North
CUST_00457,2025-01-05,Social Media,45,East
CUST_00458,2024-08-19,Google Ads,60,East
CUST_00459,2024-07-30,Social Media,45,North
CUST_00460,2024-01-08,Social Media,45,North
CUST_00461,2024-05-01,Social Media,45,North
CUST_00462,2025-04-27,Direct Organic,5,North
CUST_00463,2024-02-11,Direct Organic,5,North
CUST_00464,2024-11-28,Google Ads,60,North
