CustomerID,recency,frequency,monetary,T,predicted_clv
CUST_00001,6,57,9572.963,36,9621.551591568454
CUST_00002,73,46,6542.167,103,6583.382668166256
CUST_00003,15,17,3056.586,45,3109.348242541052
CUST_00004,18,19,3354.424,48,3406.1238041466368
CUST_00005,6,72,12984.758,36,13036.863926762635
CUST_00006,15,36,6316.591,45,6367.531345512708
CUST_00007,675,2,411.15,705,481.8604926641989
CUST_00008,3,130,22468.275,33,22518.105528481865
CUST_00009,16,93,14267.754,46,14312.036840552768
CUST_00010,22,5,829.68,52,880.913847715572
CUST_00011,2,86,14205.182,32,14252.87143127464
CUST_00012,16,47,7309.226,46,7354.281180712921
CUST_00013,90,9,1287.34,120,1330.1566127384099
CUST_00014,19,43,16229.225,49,16338.551296379099
CUST_00015,83,16,2105.185,113,2143.8937861834825
CUST_00016,256,3,330.816,286,366.9412774071207
CUST_00017,42,9,1104.118,72,1140.8874383210773
CUST_00018,162,6,1050.38,192,1103.7545569944405
CUST_00019,12,35,18263.34,42,18414.71237891599
CUST_00020,3,23,2864.13,33,2900.5173283729546
CUST_00021,6,16,2638.313,36,2686.7784812606283
CUST_00022,97,4,363.326,127,392.2385209571743
CUST_00023,257,3,444.722,287,492.922639474386
CUST_00024,62,6,948.006,92,996.2272921220391
CUST_00025,13,75,28591.874,43,28701.955893586546
CUST_00026,7,128,19788.973,37,19833.551297125767
CUST_00027,4,86,28101.28,34,28195.588552384303
CUST_00028,22,31,4108.598,52,4147.158700624035
CUST_00029,3,45,7608.638,33,7657.63406591319
CUST_00030,50,49,6267.335,80,6304.390021998722
CUST_00031,180,3,277.94,210,308.45980583697764
CUST_00032,36,27,4631.314,66,4681.275766618817
CUST_00033,10,153,37878.614,40,37949.95658366753
CUST_00034,109,1,157.4,139,224.94449275296816
CUST_00035,420,1,153.32,450,219.21776580262303
CUST_00037,58,35,5077.821,88,5119.967111477664
CUST_00038,20,32,4794.373,50,4837.935985172944
CUST_00039,50,51,7726.67,80,7770.538406660936
CUST_00040,134,9,1075.854,164,1111.6905954434126
CUST_00041,101,20,2670.956,131,2710.0631618486323
CUST_00042,31,98,16883.452,61,16933.166418465138
CUST_00043,33,46,6759.867,63,6802.452095709056
CUST_00044,39,8,1294.467,69,1343.100959566241
CUST_00045,47,37,16456.525,77,16585.499077405966
CUST_00046,75,9,1263.362,105,1305.3872277072521
CUST_00047,10,8,2427.512,40,2518.390440567406
CUST_00048,7,44,7095.074,37,7141.812588737075
CUST_00049,333,6,1592.57,363,1673.2371183983826
CUST_00050,12,31,4842.18,42,4887.609001899304
CUST_00051,9,5,1581.694,39,1678.8153473117086
CUST_00052,2,59,8243.936,32,8284.360387183002
CUST_00053,8,26,5392.431,38,5452.84769609164
CUST_00054,4,68,14266.899,34,14327.527803170648
CUST_00055,48,33,5526.744,78,5575.4130273019755
CUST_00056,9,33,5368.347,39,5415.623675400915
CUST_00057,8,82,16474.914,38,16532.925258557014
CUST_00058,12,57,10952.907,42,11008.49237092566
CUST_00059,38,42,19816.389,68,19953.064912146772
CUST_00060,50,7,1092.402,80,1139.625138443073
CUST_00061,163,12,2100.704,193,2152.522480837649
CUST_00062,116,13,1566.121,146,1601.771200235532
CUST_00063,74,6,1190.7,104,1251.1379337003943
CUST_00064,73,13,9823.069,103,10045.48848168507
CUST_00065,18,31,4726.853,48,4771.202230883694
CUST_00066,4,33,4499.964,34,4539.607357087441
CUST_00067,15,8,2015.605,45,2091.1258886292685
CUST_00068,5,28,3502.692,35,3539.1400447297183
CUST_00069,26,53,8190.906,56,8235.642413854443
CUST_00070,14,79,24161.233,44,24249.53481257606
CUST_00071,5,48,8333.374,35,8383.657161373496
CUST_00072,4,57,16129.121,34,16210.951513673248
CUST_00073,7,59,9529.412,37,9576.132157775322
CUST_00074,224,4,556.93,254,600.8382976501597
CUST_00075,316,3,278.76,346,309.3667353832277
CUST_00076,4,23,3263.56,34,3305.0043153462493
CUST_00077,8,58,11225.201,38,11281.179926974575
CUST_00078,63,13,2178.616,93,2228.1206233276275
CUST_00079,29,16,2942.106,59,2996.1311511102167
CUST_00080,3,82,11374.084,33,11414.14512268487
CUST_00081,182,18,19097.383,212,19407.579293915136
CUST_00082,91,8,1296.418,121,1345.1247007040008
CUST_00083,23,8,1851.284,53,1920.6783399373876
CUST_00084,26,11,1605.126,56,1648.4790452597863
CUST_00085,6,68,11015.334,36,11062.154540612486
CUST_00086,4,31,5988.124,34,6044.282120984266
CUST_00087,3,126,30272.273,33,30341.539716200838
CUST_00088,29,38,5653.152,59,5696.332219854605
CUST_00089,23,55,17559.05,53,17651.387057894037
CUST_00090,36,11,1917.983,66,1969.7339749096973
CUST_00091,14,53,32055.763,44,32230.684357838363
CUST_00092,2,26,4103.992,32,4149.99963979561
CUST_00093,3,21,4921.193,33,4989.652127501435
CUST_00094,197,7,849.82,227,886.6512924931142
CUST_00095,14,66,12125.778,44,12178.882746170484
CUST_00096,23,15,2790.73,53,2845.4686154385945
CUST_00097,85,23,19491.907,115,19738.810443046
CUST_00098,5,72,12790.226,35,12841.551896206809
CUST_00099,28,105,17349.792,58,17397.463640114725
CUST_00102,65,14,2374.036,95,2424.028400784893
